"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: batchSize","Param: forceSafe","Param: intKey","Param: metaSync","Param: num","Param: sequential","Param: sync","Param: valRandom","Param: valSize","Param: writeMap"
"org.lmdbjava.bench.Chronicle.readKey","ss",1,1,16523.528102,NaN,"ms/op",,,true,,10000000,true,,false,2026,
"org.lmdbjava.bench.Chronicle.readKey","ss",1,1,15944.858487,NaN,"ms/op",,,true,,10000000,false,,false,2026,
"org.lmdbjava.bench.Chronicle.write","ss",1,1,22411.678079,NaN,"ms/op",,,true,,10000000,true,,false,2026,
"org.lmdbjava.bench.Chronicle.write","ss",1,1,22410.744891,NaN,"ms/op",,,true,,10000000,false,,false,2026,
"org.lmdbjava.bench.LevelDb.readKey","ss",1,1,49869.425090,NaN,"ms/op",,,true,,10000000,true,,false,2026,
"org.lmdbjava.bench.LevelDb.readKey","ss",1,1,83784.845359,NaN,"ms/op",,,true,,10000000,false,,false,2026,
"org.lmdbjava.bench.LevelDb.readSeq","ss",1,1,29328.154338,NaN,"ms/op",,,true,,10000000,true,,false,2026,
"org.lmdbjava.bench.LevelDb.readSeq","ss",1,1,32047.441805,NaN,"ms/op",,,true,,10000000,false,,false,2026,
"org.lmdbjava.bench.LevelDb.write","ss",1,1,76553.127411,NaN,"ms/op",1000000,,true,,10000000,true,,false,2026,
"org.lmdbjava.bench.LevelDb.write","ss",1,1,86412.087792,NaN,"ms/op",1000000,,true,,10000000,false,,false,2026,
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","ss",1,1,2403.363008,NaN,"ms/op",,,true,,10000000,true,,false,2026,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","ss",1,1,10923.701172,NaN,"ms/op",,,true,,10000000,false,,false,2026,true
"org.lmdbjava.bench.LmdbJavaAgrona.readSeq","ss",1,1,1105.370495,NaN,"ms/op",,,true,,10000000,true,,false,2026,true
"org.lmdbjava.bench.LmdbJavaAgrona.readSeq","ss",1,1,2055.777231,NaN,"ms/op",,,true,,10000000,false,,false,2026,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","ss",1,1,24936.534679,NaN,"ms/op",,,true,false,10000000,true,false,false,2026,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","ss",1,1,148642.874642,NaN,"ms/op",,,true,false,10000000,false,false,false,2026,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readKey","ss",1,1,1987.580195,NaN,"ms/op",,false,true,,10000000,true,,false,2026,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readKey","ss",1,1,10123.843919,NaN,"ms/op",,false,true,,10000000,false,,false,2026,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readSeq","ss",1,1,1123.468714,NaN,"ms/op",,false,true,,10000000,true,,false,2026,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readSeq","ss",1,1,2734.506263,NaN,"ms/op",,false,true,,10000000,false,,false,2026,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","ss",1,1,24740.714825,NaN,"ms/op",,,true,false,10000000,true,false,false,2026,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","ss",1,1,147392.585506,NaN,"ms/op",,,true,false,10000000,false,false,false,2026,true
"org.lmdbjava.bench.LmdbJni.readKey","ss",1,1,2273.394261,NaN,"ms/op",,,true,,10000000,true,,false,2026,true
"org.lmdbjava.bench.LmdbJni.readKey","ss",1,1,10569.633563,NaN,"ms/op",,,true,,10000000,false,,false,2026,true
"org.lmdbjava.bench.LmdbJni.readSeq","ss",1,1,1471.413937,NaN,"ms/op",,,true,,10000000,true,,false,2026,true
"org.lmdbjava.bench.LmdbJni.readSeq","ss",1,1,2226.269781,NaN,"ms/op",,,true,,10000000,false,,false,2026,true
"org.lmdbjava.bench.LmdbJni.write","ss",1,1,25729.905035,NaN,"ms/op",,,true,false,10000000,true,false,false,2026,true
"org.lmdbjava.bench.LmdbJni.write","ss",1,1,148822.840227,NaN,"ms/op",,,true,false,10000000,false,false,false,2026,true
"org.lmdbjava.bench.LmdbLwjgl.readKey","ss",1,1,2250.531111,NaN,"ms/op",,,true,,10000000,true,,false,2026,true
"org.lmdbjava.bench.LmdbLwjgl.readKey","ss",1,1,10857.482575,NaN,"ms/op",,,true,,10000000,false,,false,2026,true
"org.lmdbjava.bench.LmdbLwjgl.readSeq","ss",1,1,1167.037977,NaN,"ms/op",,,true,,10000000,true,,false,2026,true
"org.lmdbjava.bench.LmdbLwjgl.readSeq","ss",1,1,2006.324902,NaN,"ms/op",,,true,,10000000,false,,false,2026,true
"org.lmdbjava.bench.LmdbLwjgl.write","ss",1,1,24639.718588,NaN,"ms/op",,,true,false,10000000,true,false,false,2026,true
"org.lmdbjava.bench.LmdbLwjgl.write","ss",1,1,146170.699849,NaN,"ms/op",,,true,false,10000000,false,false,false,2026,true
"org.lmdbjava.bench.MapDb.readKey","ss",1,1,186230.685366,NaN,"ms/op",,,true,,10000000,true,,false,2026,
"org.lmdbjava.bench.MapDb.readKey","ss",1,1,242916.735261,NaN,"ms/op",,,true,,10000000,false,,false,2026,
"org.lmdbjava.bench.MapDb.readSeq","ss",1,1,7066.082785,NaN,"ms/op",,,true,,10000000,true,,false,2026,
"org.lmdbjava.bench.MapDb.readSeq","ss",1,1,6744.528031,NaN,"ms/op",,,true,,10000000,false,,false,2026,
"org.lmdbjava.bench.MapDb.write","ss",1,1,626492.597834,NaN,"ms/op",,,true,,10000000,true,,false,2026,
"org.lmdbjava.bench.MapDb.write","ss",1,1,581837.785494,NaN,"ms/op",,,true,,10000000,false,,false,2026,
"org.lmdbjava.bench.RocksDb.readKey","ss",1,1,32197.614787,NaN,"ms/op",,,true,,10000000,true,,false,2026,
"org.lmdbjava.bench.RocksDb.readKey","ss",1,1,44790.249109,NaN,"ms/op",,,true,,10000000,false,,false,2026,
"org.lmdbjava.bench.RocksDb.readSeq","ss",1,1,10338.269858,NaN,"ms/op",,,true,,10000000,true,,false,2026,
"org.lmdbjava.bench.RocksDb.readSeq","ss",1,1,11506.663250,NaN,"ms/op",,,true,,10000000,false,,false,2026,
"org.lmdbjava.bench.RocksDb.write","ss",1,1,53615.823116,NaN,"ms/op",1000000,,true,,10000000,true,,false,2026,
"org.lmdbjava.bench.RocksDb.write","ss",1,1,59849.329291,NaN,"ms/op",1000000,,true,,10000000,false,,false,2026,
"org.lmdbjava.bench.Xodus.readKey","ss",1,1,207935.145585,NaN,"ms/op",,,true,,10000000,true,,false,2026,
"org.lmdbjava.bench.Xodus.readKey","ss",1,1,1578955.497375,NaN,"ms/op",,,true,,10000000,false,,false,2026,
"org.lmdbjava.bench.Xodus.readSeq","ss",1,1,267189.031560,NaN,"ms/op",,,true,,10000000,true,,false,2026,
"org.lmdbjava.bench.Xodus.readSeq","ss",1,1,203338.677881,NaN,"ms/op",,,true,,10000000,false,,false,2026,
"org.lmdbjava.bench.Xodus.write","ss",1,1,32443.517298,NaN,"ms/op",,,true,,10000000,true,,false,2026,
"org.lmdbjava.bench.Xodus.write","ss",1,1,894982.569215,NaN,"ms/op",,,true,,10000000,false,,false,2026,
